provider_code,station_code,station_name,latitude,longitude,altitude_m
ana,77500000,QUARAI,-30.3844,-56.4656,86
ana,79400000,ESTANCIA DO ESPANTOSO,-31.5339,-54.2944,100
ana,84420000,RIO DO FORNO,-29.2933,-49.8231,0
ana,84520002,PCH SANTA ROSA MONTANTE,-28.0017,-49.1139,313
ana,84538500,PCH SAO MAURICIO JUSANTE,-28.1569,-49.1214,0
ana,84559800,BRACO DO NORTE-MONTANTE,-28.2389,-49.1631,68
ana,84580000,RIO DO POUSO,-28.4206,-49.1064,23
ana,84580500,TUBARAO,-28.4700,-48.9917,14
ana,84597100,CGH VOLTA GRANDE BARRAMENTO,-28.0881,-48.9392,247
ana,84598002,SAO MARTINHO - JUSANTE,-28.1656,-48.9717,31
ana,84853000,FOZ DO MANUEL ALVES,-28.8536,-49.5897,10
ana,85029000,PCH ERNESTINA MONTANTE,-28.4056,-52.4408,0
ana,85040000,PCH ERNESTINA ARROIO TRES PASSOS,-28.4733,-52.4047,0
ana,85050100,PCH ERNESTINA JUSANTE 2,-28.5628,-52.5536,0
ana,85076000,PCH COTOVELO DO JACUI JUSANTE,-28.6728,-52.7311,371
ana,85080001,UHE PASSO REAL MONTANTE 2,-28.7197,-52.8492,380
ana,85110000,CGH COLORADO JUSANTE,-28.6428,-52.9269,0
ana,85130000,CGH RP 1 BARRAMENTO,-28.8400,-52.7019,474
ana,85170100,CGH MIRIM BARRAMENTO,-28.2622,-53.1217,466
ana,85180000,UHE PASSO REAL RIO JACUI-MIRIM 2,-28.5461,-53.1650,0
ana,85260001,UHE PASSO REAL BARRAMENTO,-29.0164,-53.1886,326
ana,85290000,UHE JACUI ARROIO LAJEADO PELADO,-29.0508,-53.2653,0
ana,85300000,UHE JACUI BARRAMENTO,-29.0733,-53.2100,279
ana,85350000,PCH ENGENHEIRO HENRIQUE KOTZIAN JUSANTE,-29.1289,-53.3178,189
ana,85365000,UHE ITAUBA BARRAMENTO,-29.2597,-53.2353,783
ana,85365500,UHE ITAUBA ARROIO POVINHO,-28.5550,-52.4936,0
ana,85382000,UHE DONA FRANCISCA ARROIO CARIJINHO,-29.3853,-53.0483,321
ana,85395100,UHE DONA FRANCISCA BARRAMENTO,-29.4475,-53.2844,89
ana,85400000,DONA FRANCISCA,-29.6269,-53.3528,32
ana,85500010,CGH COLORADO ARROIO BONITO,-28.5272,-52.8878,0
ana,85500100,CGH COLORADO MONTANTE,-28.5794,-52.9200,0
ana,85590900,PASSO DAS TUNAS,-29.9258,-53.4164,0
ana,85623010,CAMPING SAO SEPE,-30.1942,-53.5633,0
ana,85642000,PASSO SAO LOURENCO,-30.0078,-53.0156,15
ana,85900000,RIO PARDO,-29.9950,-52.3756,2
ana,86060010,CGH CAMBARA BARRAMENTO,-28.9489,-50.0556,592
ana,86100600,PCH PEZZI ARROIO PINHEIRO ALTO,-28.7575,-50.5211,625
ana,86101000,PCH PASSO DO MEIO MONTANTE,-28.7883,-50.5611,0
ana,86102000,PCH PASSO DO MEIO MONTANTE TAINHAS,-28.8644,-50.5622,0
ana,86117000,PCH SERRA DOS CAVALINHOS I ARROIO DO GOVERNADOR,-28.7900,-50.6789,650
ana,86125000,CGH TRABUCO JUSANTE,-28.6022,-51.2344,658
ana,86125050,PCH MORRO GRANDE MONTANTE,-28.5486,-51.3017,641
ana,86125120,PCH MORRO GRANDE JUSANTE 1,-28.5719,-51.3111,578
ana,86125130,PCH MORRO GRANDE JUSANTE 2,-28.5919,-51.3247,551
ana,86125200,PCH SALTINHO JUSANTE,-28.6364,-51.3806,436
ana,86160000,PASSO TAINHAS,-28.8681,-50.4561,600
ana,86163000,PCH SERRA DOS CAVALINHOS II JUSANTE,-28.7869,-50.7447,451
ana,86195000,PCH CAZUZA FERREIRA BARRAMENTO,-29.0206,-50.7314,788
ana,86210000,PCH CRI?VA JUSANTE,-28.9449,-50.7900,2
ana,86280500,PCH RIO SAO MARCOS BARRAMENTO,-29.0367,-51.0956,0
ana,86298000,UHE CASTRO ALVES RS-122,-28.9414,-51.1892,274
ana,86305000,UHE CASTRO ALVES BARRAMENTO,-29.0058,-51.3853,250
ana,86306000,UHE CASTRO ALVES ALCA,-29.0133,-51.3675,206
ana,86321000,UHE CASTRO ALVES TEGA,-29.0633,-51.3236,239
ana,86350000,PCH CHIMARRAO RIO SANTA RITA,-28.4725,-51.3600,0
ana,86404200,PCH CHIMARRAO BARRAMENTO,-28.5981,-51.3992,518
ana,86406000,PCH SANTA CAROLINA JUSANTE,-28.6189,-51.4011,464
ana,86410050,PCH DA ILHA BALSA DO TURVO,-28.8086,-51.4467,0
ana,86410800,PCH DA ILHA AFLUENTE,-28.7983,-51.4744,0
ana,86430500,PCH JARARACA PRATINHA,-28.8225,-51.4939,344
ana,86445500,PCH JARARACA AL?A,-28.9386,-51.4482,2
ana,86447000,UHE MONTE CLARO BALSA DO PRATA,-28.9714,-51.4611,200
ana,86448000,UHE MONTE CLARO BARRAMENTO,-29.0292,-51.5219,201
ana,86450000,UHE MONTE CLARO JUSANTE 1 (ALCA),-29.0750,-51.5239,128
ana,86450500,UHE MONTE CLARO JUSANTE 2,-29.0211,-51.5333,118
ana,86450600,CGH TAIPINHA BARRAMENTO,-28.9364,-51.5058,555
ana,86470900,UHE 14 DE JULHO ALCA,-29.0700,-51.6342,88
ana,86471000,UHE 14 DE JULHO JUSANTE,-29.0797,-51.6814,83
ana,86472000,LINHA JOSE JULIO,-29.0978,-51.6997,61
ana,86472600,SANTA TEREZA,-29.1781,-51.7322,0
ana,86479000,PCH CACADOR PONTE SAO DOMINGOS,-28.5792,-51.8686,0
ana,86488000,PCH CACADOR MONTANTE,-28.6847,-51.8506,0
ana,86490500,PCH BOA F? MONTANTE,-28.7117,-51.8525,2
ana,86497000,PCH SAO PAULO BARRAMENTO,-28.7750,-51.8447,0
ana,86500000,PASSO CARREIRO,-28.8489,-51.8325,260
ana,86504900,PCH AUTODROMO JUSANTE,-28.8817,-51.7897,222
ana,86505500,PCH LINHA EMILIA JUSANTE,-28.9414,-51.7694,0
ana,86507000,PCH COTIPORA JUSANTE,-28.9722,-51.7558,0
ana,86510000,MUCUM,-29.1672,-51.8686,34
ana,86520000,PCH CAPIGUI BARRAMENTO DE REGULARIZACAO,-28.3511,-52.2147,631
ana,86720000,ENCANTADO,-29.2344,-51.8550,28
ana,86743800,PCH RASTRO DE AUTO BARRAMENTO,-29.0533,-52.2194,258
ana,86743950,PCH SALTO FORQUETA ALCA,-29.0833,-52.2106,797
ana,86744000,PCH SALTO FORQUETA JUSANTE,-29.0844,-52.2064,171
ana,86780000,BARRA DO FAO,-29.2239,-52.1622,85
ana,86879300,ESTRELA,-29.4733,-51.9622,0
ana,86881000,BOM RETIRO DO SUL - MONTANTE,-29.6081,-51.9511,1
ana,86895000,PORTO MARIANTE,-29.6922,-51.9700,0
ana,86950000,TAQUARI,-29.8069,-51.8758,-1
ana,87010000,TRIUNFO,-29.9419,-51.6942,0
ana,87070000,UHE BUGRES BARRAMENTO DIVISA,-29.2994,-50.5697,97
ana,87100000,UHE BUGRES BARRAMENTO SALTO,-29.3153,-50.6806,742
ana,87110000,CGH TOCA BARRAMENTO,-29.2892,-50.7408,675
